timestamp,rssi,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51,sub_52
1779652424.0548904,-53,3.00,19.92,20.25,19.31,19.70,20.12,19.72,20.25,20.81,21.40,22.02,22.02,22.67,24.08,25.50,25.50,26.25,27.02,27.20,27.20,27.46,26.42,26.83,26.40,26.93,27.51,7.62,18.03,18.11,18.25,18.25,18.44,18.44,19.65,19.65,18.68,18.68,18.97,18.97,18.68,18.68,17.46,17.26,18.25,18.11,18.03,18.00,18.00,18.03,19.10,19.24,19.42,19.42
1779652424.0845394,-53,3.00,24.08,24.19,24.19,24.33,23.54,23.77,24.04,25.63,26.93,27.31,26.83,25.94,26.42,29.15,31.38,31.76,32.20,32.20,32.70,32.31,32.89,34.21,33.73,32.39,31.14,8.06,21.93,21.02,21.47,21.47,21.95,22.47,23.02,23.02,23.60,25.00,24.21,22.80,22.20,20.81,21.10,21.47,21.93,21.54,21.19,21.19,21.84,22.56,24.52,24.33,22.20,21.10
1779652424.1215436,-53,3.00,22.47,22.20,22.20,22.80,22.67,21.93,22.63,22.67,23.43,24.21,25.00,25.81,26.63,27.46,28.84,29.41,30.00,30.61,30.48,29.73,29.70,29.73,29.21,30.23,29.68,8.06,20.40,20.22,20.10,20.02,20.02,21.00,21.00,21.02,21.02,21.02,21.02,21.02,21.02,20.00,20.00,20.02,20.10,20.22,20.40,20.62,19.65,20.88,21.19,21.54,21.93,22.36
1779652424.1428635,-53,3.00,20.12,20.12,19.70,19.31,19.92,19.92,20.62,20.40,21.21,21.10,22.09,23.09,24.02,25.02,25.08,26.08,26.17,26.31,27.46,27.66,26.93,26.25,25.63,26.40,26.83,6.71,17.03,17.80,17.20,18.03,18.03,18.36,18.36,18.36,17.89,18.36,18.36,17.89,17.89,18.36,17.49,17.20,17.20,17.80,17.03,17.69,17.69,17.69,17.80,18.60,18.60,19.42
1779652424.1757414,-53,3.00,18.87,18.87,19.24,18.79,18.38,18.97,18.97,19.65,20.40,20.22,21.21,22.09,23.19,24.19,24.19,25.18,26.31,26.48,26.68,25.96,26.25,25.63,25.08,25.94,25.55,5.83,16.64,17.00,17.00,17.00,17.46,17.46,18.03,18.03,18.97,18.03,18.03,18.03,17.09,17.46,16.55,16.55,17.00,16.64,16.64,16.40,17.03,17.69,17.69,17.69,18.44,18.60
1779652424.2023225,-53,3.00,24.19,24.08,24.02,24.00,24.02,24.08,25.18,25.32,25.71,26.93,26.93,28.16,29.41,30.68,31.62,32.28,32.98,32.98,33.73,33.38,32.25,32.06,32.00,32.06,32.14,8.06,21.47,21.95,21.63,22.20,22.20,22.80,23.43,22.67,22.67,22.67,23.35,23.35,22.67,22.02,22.02,21.40,21.63,21.95,21.95,22.36,21.93,22.47,23.41,23.09,23.77,23.54
1779652424.2380574,-53,3.00,22.47,22.47,22.14,21.84,21.59,22.36,22.20,23.09,23.02,24.00,25.00,26.02,27.02,27.02,28.00,29.00,29.02,30.07,30.15,30.27,29.43,29.61,28.86,29.41,29.73,7.62,20.52,20.52,20.52,20.52,20.62,21.40,21.40,21.63,21.63,21.63,21.63,22.20,21.40,20.62,20.62,20.62,19.85,19.80,20.52,19.85,20.62,20.81,21.63,21.95,22.36,22.36
1779652424.2638185,-53,3.00,18.03,18.03,18.00,18.00,17.03,18.11,18.25,18.44,19.65,19.65,19.92,20.25,21.19,22.47,22.47,23.09,24.04,23.77,23.77,24.52,24.19,24.08,24.08,24.00,24.02,6.00,15.65,16.12,16.12,15.81,15.81,17.20,17.80,17.03,17.03,17.03,17.03,17.03,17.03,16.40,16.40,15.81,16.12,16.12,15.65,15.65,16.16,17.09,16.76,17.72,17.46,17.26
1779652424.2986856,-53,3.00,21.47,21.95,21.63,21.63,22.20,22.02,22.02,21.93,23.35,23.43,24.84,25.61,25.61,27.02,27.66,28.32,28.32,29.00,29.00,29.07,29.21,28.60,28.84,28.65,29.07,6.71,19.24,19.10,19.03,19.03,19.00,20.02,20.02,20.10,20.10,20.10,20.10,20.10,20.10,20.02,19.00,19.00,19.00,19.10,19.24,19.24,19.42,19.65,19.92,21.19,21.54,20.62
1779652424.3207197,-53,3.00,18.44,18.68,18.97,18.03,18.38,18.79,19.24,19.72,20.25,20.81,20.81,21.40,22.02,23.43,24.21,25.00,25.00,25.81,26.08,25.55,25.50,25.08,25.63,25.30,25.71,6.08,17.26,17.26,17.46,17.72,18.03,18.03,18.38,18.38,18.38,18.79,18.79,18.38,18.38,17.46,17.09,16.76,17.46,17.46,17.26,17.12,17.03,18.00,18.00,18.00,18.03,18.11
1779652424.3522563,-53,3.00,18.87,18.36,19.24,18.79,18.79,19.31,18.97,19.65,19.42,20.40,21.21,22.20,22.20,23.35,24.33,25.50,25.50,25.71,25.96,25.30,24.70,25.08,25.06,25.55,25.24,5.83,17.20,17.20,18.60,18.03,17.49,17.49,17.49,17.89,18.79,18.38,18.38,18.38,17.89,17.00,17.00,17.00,17.00,16.64,16.40,17.03,17.03,16.97,17.69,18.44,18.60,18.60
1779652424.3868678,-53,3.00,22.63,23.35,22.67,22.02,22.80,22.20,22.47,23.32,23.71,24.60,25.08,26.00,26.93,27.86,28.79,29.15,29.55,29.97,30.41,30.02,29.68,29.41,29.21,29.73,29.70,8.49,20.62,20.25,19.92,20.88,20.62,21.59,21.38,21.38,21.21,21.21,22.20,22.20,21.38,20.40,20.62,20.88,19.92,20.25,20.62,20.12,20.59,20.59,21.95,21.63,22.20,22.02
1779652424.4109223,-53,3.00,21.02,20.59,21.10,20.81,20.00,20.62,21.26,21.21,22.67,22.02,22.80,23.60,25.24,25.81,26.63,27.20,27.80,28.43,29.07,29.00,28.28,27.66,27.20,27.46,27.78,6.71,19.03,19.00,19.03,19.10,19.10,20.10,20.22,20.22,20.40,20.40,20.40,20.40,19.24,19.24,19.10,19.10,19.03,19.00,19.03,19.24,19.24,19.42,20.40,19.65,19.92,20.25
