timestamp,rssi,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51,sub_52
1779652511.7759202,-55,3.00,11.18,10.05,9.00,7.00,6.08,4.12,3.61,3.61,3.00,3.16,4.24,5.66,7.21,8.06,10.30,11.18,12.08,13.42,14.76,14.76,15.26,16.12,16.64,17.20,17.80,4.24,31.91,32.45,32.20,32.80,32.65,33.30,32.56,31.83,31.83,31.11,29.70,29.70,27.59,26.91,26.25,24.21,23.60,23.02,21.95,21.47,20.12,19.70,19.31,18.03,16.76,15.52
1779652511.8063877,-55,3.00,10.00,8.60,6.71,6.08,5.00,4.47,4.24,5.39,6.08,7.00,9.06,10.20,11.40,13.60,14.56,15.81,17.72,18.68,19.65,20.62,21.59,21.38,22.36,23.19,23.09,6.08,32.65,32.20,32.31,33.24,32.89,33.53,33.24,32.98,31.78,31.78,30.81,29.83,27.89,26.93,25.96,24.04,23.41,22.47,21.02,20.59,19.72,18.87,18.60,17.03,15.62,14.87
1779652511.8362236,-55,3.00,10.00,8.49,7.81,6.71,6.08,6.08,6.71,7.07,7.81,9.43,11.18,12.08,13.60,15.52,17.46,18.44,19.65,21.59,21.59,22.80,23.41,24.35,24.70,25.08,25.50,6.71,33.06,33.00,33.02,33.06,33.14,33.24,33.38,32.56,32.56,31.58,30.59,29.61,27.46,26.31,25.32,24.08,23.02,22.00,21.02,20.10,19.24,18.25,17.46,16.76,15.81,13.93
1779652511.8643548,-56,3.00,7.62,7.07,7.00,6.32,7.21,7.07,8.06,8.94,10.44,12.17,13.04,15.03,16.00,18.00,19.03,21.02,22.00,23.00,24.02,24.02,25.08,25.18,26.17,26.48,26.68,7.07,31.62,31.32,31.05,30.81,30.59,31.40,31.14,30.15,29.07,29.07,28.07,27.07,26.17,24.19,23.19,21.38,20.62,19.92,18.97,18.03,16.55,15.65,15.26,13.60,12.81,12.04
1779652511.8945103,-55,3.00,7.28,8.06,8.60,9.90,10.00,11.66,12.53,13.00,14.87,15.52,17.46,18.44,20.40,21.38,22.36,24.52,25.50,25.50,25.96,26.25,26.57,26.93,27.73,27.29,27.78,6.71,26.25,26.57,26.57,26.25,25.96,25.71,25.32,25.32,25.18,23.19,22.20,21.10,20.10,19.24,17.26,16.49,15.52,14.87,13.42,12.53,12.21,10.63,9.90,9.22,8.06,7.62
1779652511.931635,-57,3.00,9.90,12.04,12.81,13.60,14.42,16.12,17.89,18.79,20.62,21.19,23.09,23.77,24.74,26.93,27.89,29.12,30.36,30.68,31.02,31.38,31.38,30.87,31.30,31.38,31.91,8.06,21.02,21.02,20.12,19.24,18.36,17.49,18.03,18.03,16.64,15.26,14.42,13.04,11.18,9.85,9.49,8.25,7.07,6.00,5.10,4.47,4.24,4.47,4.47,5.00,5.39,5.83
1779652511.9548235,-57,3.00,13.00,15.03,16.03,17.12,18.11,19.24,20.62,21.84,23.09,24.70,26.00,27.73,29.07,30.89,32.25,33.62,34.48,35.85,35.85,35.85,36.24,35.78,35.78,36.25,36.25,9.49,23.54,23.35,22.20,22.20,21.10,20.10,20.10,19.10,17.03,16.03,15.03,13.04,12.04,10.05,9.06,8.06,6.08,5.00,4.12,4.12,3.61,3.61,4.47,6.08,7.07,8.06
1779652511.9845333,-56,3.00,13.60,14.21,14.21,15.00,15.00,16.40,17.03,17.03,18.38,19.10,19.80,21.26,22.02,23.43,24.21,24.21,25.61,25.61,25.61,26.25,26.25,25.50,25.50,25.50,26.17,6.40,20.81,21.40,20.62,20.62,19.85,19.85,19.85,19.10,19.10,17.69,17.69,16.97,16.28,14.87,13.45,13.45,12.81,12.21,12.21,11.40,11.40,11.40,12.04,12.04,12.04,12.73
1779652512.013236,-52,3.00,21.02,21.02,21.02,20.02,20.02,20.10,21.10,21.10,21.21,21.38,22.36,22.56,23.54,24.52,24.52,25.50,25.32,25.32,26.17,26.17,25.08,25.02,25.02,25.00,25.02,6.00,21.21,20.22,20.22,20.22,20.40,21.59,21.84,21.84,21.84,20.88,20.62,20.62,20.62,20.40,20.40,19.42,19.24,18.11,19.03,19.03,19.00,19.00,20.00,20.00,20.02,20.02
1779652512.045132,-52,3.00,22.85,22.47,22.47,21.54,20.62,20.62,20.25,20.25,19.92,19.92,19.92,20.25,20.25,20.25,20.25,20.62,21.02,21.02,20.59,20.25,19.42,20.00,19.85,19.10,18.38,5.00,26.63,27.20,27.80,27.80,27.66,28.32,28.32,28.32,28.32,29.00,27.59,27.59,26.91,26.25,25.61,25.00,23.85,23.85,24.19,23.71,23.26,24.17,24.17,24.70,24.70,23.77
1779652512.0742986,-56,3.00,18.38,17.09,17.09,15.81,14.87,14.56,14.56,14.32,14.32,14.14,14.04,14.04,15.03,16.00,17.00,17.03,17.12,18.25,18.44,18.44,18.68,18.38,18.79,18.79,19.24,5.00,31.02,31.02,31.06,31.06,31.06,31.06,31.06,31.06,31.06,31.06,30.07,29.07,28.02,27.00,25.02,25.18,24.33,23.54,22.80,23.09,22.47,21.93,22.85,21.54,20.62,19.70
1779652512.1089163,-59,3.00,2.24,0.00,1.41,2.83,5.66,7.07,9.22,10.00,11.40,13.60,15.26,16.64,18.87,19.72,21.95,23.32,24.70,26.08,26.63,28.02,28.60,29.21,29.07,29.07,29.00,7.81,30.02,29.02,29.07,29.07,29.15,28.16,28.28,27.29,26.17,25.18,24.19,24.08,22.09,21.02,19.00,18.03,17.12,16.28,14.56,13.60,12.65,12.08,10.77,9.85,8.06,7.21
1779652512.1368728,-58,3.00,11.05,12.00,13.04,14.04,15.13,16.28,17.46,18.97,20.25,21.54,21.93,23.26,24.60,26.42,28.65,29.53,29.53,30.41,31.30,30.87,31.78,31.38,31.02,30.68,31.32,7.62,19.70,18.79,18.36,17.49,17.49,16.64,16.12,15.26,14.42,13.04,11.66,10.30,9.43,8.06,6.71,6.32,5.10,3.00,2.00,1.41,1.00,1.41,3.16,4.12,5.10,6.32
